anchor,line,neg_response
"You do understand the irony here. You mocking us for avoiding relationships, but you can't handle losing your doll. You're spending all this time and energy interviewing for a new one.",You're right. That is stupid. He gets up to leave.,"Hes irony impaired, just move on."
What about the Patient?,Dude's banging a sex doll. A festering cesspool of bodily fluids and associated bacteria. Swab her out and find out which one. He leaves the office.,"Oh, we didnt screw around."
Dude's banging a sex doll. A festering cesspool of bodily fluids and associated bacteria. Swab her out and find out which one. He leaves the office.,I need you.,Your office is full of genitalia.
"He knows. We've talked about it, and he accepts me for who I am.",No.,Of course he does.
We can explain that the same way we explain the tooth fairy.,"Oh, I get to play Solomon. Cut the doll open.",Because we have been told as much by the many experts who serve the realm by counseling the king on matters about which he knows nothing.
We can't just destroy the Patient's property. That thing cost 7 grand.,Exactly.,I dont know.
You are a horrible person.,All I need is to break up one marriage.,"No, Im the worst."
Okay. I have work to do. He turns to his laptop and starts typing on the keyboard.,Your computer is off.,"Okay, sure, fine."
"Sorry, I can't hear you over my stereo.",Why do you assume that marriage is better than hooking? We don't know anything about the guy. He could be a serial killer.,Uh... I cant really hear you. I think we have sort of a bad connection.
"I threw in some stitches, too. Just wanted to make her look her best. Do you want me to put her in her chair? Suddenly, Henry falls down, in pain, he seems to be unable to breathe. Henry? to the nurses Call a code!",You looking at the apartment with those or the transit of Mercury?,That is not what I said.
"If night comes, you'll be thanking me. pointing outside They're seeking heat.",He's an accountant. How late do you think he's going to party?,"If they get scared, theyll have those hats with the lights on them, cause down there its nightnight all the time."
I bought jar to pee in.,Yeah.,"Well, your gonna need much bigger jars."
"Say mushroom, charge $2. Say truffle, charge $5. Is that the Man who wants to marry hooker? A Black Man walks down the stairs in front of the building.",PRobably. But he's not the one we're after. He is still holding the phone to his ear but not really paying attention to it.,"Anyway, I was heading towards this bakery, you know, to pick up a couple of dozen Linzer torts for someone when outta nowhere this thug with a pipe jumps out and says Gimme your money, punk!"
Should we ask? Nope.,Oh!,"Oh, my God."
I'm guessing she didn't ask for this favor.,"Oh, you know, the noblest gifts are the ones we give anonymously.","Hold on, I dont think she was impressed."
Crackles are nonspecific. Hypoxia plus bleeding could indiCate D.I.C. or some other,No neurological symptoms?,"Hey, guys, sorry you had to wait, but we are swamped."
How did band practice go? Great.,Does she look like she's lying?,"Hey. Oh, howd the audition go?"
"Popo needed a ride to the doctor, and my mom couldn't, so",You're terrified of dating because! a previous relationship ended because your latent rage made you vicious in arguments. Or,My mother dragged me there and she plopped me down on your lap and you asked me what I wanted for Christmas.
"Or reincarnation. In a past life, she was Anne Boleyn.",Interesting. Taub feels confident enough to turn the spotlight on himself. It's almost as if he wants me to ask! what's her name?,That woman looks exactly like the pictures of Princess Punchali in the book.
"Wendy Jacobson. 33, Brown grad, family therapist.",Nice choice. Since you got two families to therapize.,This is Karen Filippelli.
First date we didn't discuss Everything important,So it was just a one-night stand.,Not my best first date.
You're wrong. I actually like her. I'm going to see her again.,Mazel tov. Great relationships often start with snap decisions aimed at proving me wrong.,So are you actually gonna see her again?
Air bubble in the doll could mean the silicone is degrading. If he hailed some particles!,"Silicone deposition. That could work. Start him on plasmapheresis. Now, turning to Adams, my theory is tripartite",Lets just say my Curious George doll is no longer curious.
"Silicone deposition. That could work. Start him on plasmapheresis. Now, turning to Adams, my theory is tripartite",Want to hear my thesis? It's kind of interesting.,What if we infused the bottom layer with siliconeRTV to provide a better mounting surface?
Serologies were negative.,"Yeah, if you want Adams to hear, you might want to not stand so conspicuously far away.","To be honest, his research never amounted to anything."
"Hepatic fibrosis. If it damaged his platelets, it'd explain the bleeding.",Unexpected.,"That was amazing, Morty."
"It'll solve all our hang-ups. $7,000?","Adams suggests that we all sleep together, and your issue is high prices?","Yes! Yes, but I can only pay $8,000."
Pretty sure she was joking.,"Yes, I'm 99% sure that you're right, but I would nEver forgive myself",She was kidding about that right?
"Those dolls are only $5,000. He must have had it customized somehow. They all look at him in disbelief. Oh, like, you didn't check the website?",I guess we don't need to ask how your dating life is going.,"$5,000 for a couple of dolls?"
It would if liver failure opened pulmonary av shunts.,Fibrosis fits. Start the Patient on steroids and find out how he pimped his ride.,"Well, I dont know, were all Groot?"
Start the Patient on steroids and find out how he pimped his ride. Why?,Because I don't know the answer. He gets up and heads for the elevator. Wilson happens to be walking by and stops to talk to House.,"Cause last time I saw him, I threw new ones and it got me nothing."
Wilson happens to be walking by and stops to talk to House. Hey. Foosball?,Can't. Marriage to destroy.,"Hey Eddie, you uh, wanna play some foosball?"
Okay! He heads for his office.,Okay as in passive-aggressive rEverse psychology? Or as in depressed resignation,All right. Leonard went to the office.
Okay as in I changed my mind.,Expand.,"Understood. So, whatd you say back then?"
"Oh, it's morally reprehensible and bound to fail, but in a weird way, it's a step forward. This thing with Emily.",Contract.,"Well, Emilys willing to work on the relationship."
"It's real without being real. It's a long-term relationship that can't actually hurt you. It's, um! a stepping stone. It means you want more.","So, passive-aggressive rEverse psychology. Got it. He enters the elevator and the doors close.",Whats real? What isnt? How can I know?
